Name: Scott Davidson
Date: 2-20-16
Time: 10:15
0 -136 -1032
-8 -112 -1016
0 -104 -1024
24 -128 -1024
280 -216 -624
312 -144 -384
624 120 -128
1200 304 136
1408 872 0
1320 616 -24
1176 608 -56
1024 496 -64
1032 496 -128
1096 392 -80
1176 312 -40
1240 272 8
1080 264 -48
1008 176 128
880 232 40
824 240 -72
928 304 -72
1104 440 -96
1256 392 -184
1048 352 -160
1144 304 120
1072 312 56
1032 280 144
1008 264 88
1032 256 88
1016 296 -72
1024 256 -112
960 256 -56
920 272 -96
896 312 -112
1000 320 -152
1104 368 -112
1128 320 64
1080 304 104
1008 296 48
960 280 72
1008 256 64
1112 264 -16
960 296 -168
960 248 40
904 272 -80
912 328 -88
992 336 -168
1192 352 -96
1064 344 -120
1168 296 24
1040 280 16
984 328 96
936 360 40
912 400 0
920 384 -64
936 360 -192
960 280 -32
952 296 -56
920 320 -120
976 304 -104
1048 320 -104
1072 328 -128
1256 208 24
1192 176 0
1120 152 72
1008 208 40
984 240 136
1016 288 208
1072 328 216
1072 376 192
1064 376 184
1024 384 176
976 400 -48
960 400 -264
1008 400 -392
1056 368 -368
1064 336 -80
1072 312 0
1048 328 64
984 320 -8
912 312 -32
912 344 8
1072 360 32
944 392 -40
1000 392 8
960 376 -56
928 384 -56
936 384 -112
1048 344 -104
1064 352 -56
1056 344 32
1104 312 128
1000 296 112
904 264 64
1024 240 80
1152 288 40
912 304 -216
984 232 -40
904 280 -96
888 304 -120
968 288 -152
1184 328 -8
1024 336 -72
1144 296 104
1032 280 24
936 248 104
912 240 40
1000 296 80
984 384 -40
1032 320 -72
944 296 -40
896 320 -88
920 328 -152
1080 328 -48
1048 344 -120
1120 344 -16
1032 304 120
960 272 80
920 256 56
1008 256 88
1096 320 -8
1104 320 -120
1008 296 -56
928 272 -144
888 320 -96
1032 312 -88
1152 352 -40
1080 352 -32
1072 320 128
936 336 48
864 344 112
920 424 112
1000 488 64
856 520 -56
992 432 -192
928 408 -128
848 424 24
776 352 48
1088 336 192
1104 408 280
1056 360 136
1032 384 48
1040 384 128
1088 312 368
1016 320 72
968 272 168
1040 248 48
1024 152 -48
952 88 -32
944 168 -64
992 232 -168
1208 288 0
1064 288 -8
1064 264 64
1056 256 112
1008 248 80
1008 224 72
1056 232 -8
992 264 -16
1080 248 -8
936 248 -48
904 256 -72
944 328 -88
1072 296 -56
1024 312 -56
1136 312 128
992 304 80
960 256 104
952 240 48
992 256 56
1056 296 -24
1088 296 -112
976 256 -16
920 288 -80
912 328 -152
1032 304 -128
1072 320 -224
1080 376 80
1056 328 224
984 280 104
944 264 64
1008 272 24
1136 304 24
1008 288 -80
944 248 16
904 280 -24
912 312 -72
976 328 -136
1184 352 -80
1032 296 -64
1032 312 64
952 272 56
936 264 72
984 256 80
1088 272 72
1032 344 -80
1016 240 -32
968 248 -56
936 264 -72
896 272 -88
968 280 -136
1216 304 0
1088 256 -40
1128 184 144
1040 184 32
992 160 80
1000 208 104
1016 224 96
1024 272 136
1008 288 136
1032 304 152
1008 328 128
984 336 48
968 360 -88
1008 376 -48
968 352 -72
960 328 -8
1056 344 48
1008 360 40
976 344 32
